b_l8_student.dap,1,1,1,1,1,0,0,0,0,0
b_p1_student01.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student02.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student03.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student04.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student05.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student06.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student07.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student08.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student09.dap,0,1,0,1,0,0,0,0,0,0
b_p1_student10.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student11.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student12.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student13.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student14.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student15.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student16.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student17.dap,0,1,0,1,0,0,0,0,0,0
b_p1_student18.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student19.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student20.dap,1,1,0,1,0,0,0,0,0,0
b_p2_student01.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student02.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student03.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student04.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student05.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student06.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student07.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student08.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student09.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student10.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student11.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student12.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student13.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student14.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student15.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student16.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student17.dap,1,1,0,0,0,0,0,0,0,0
b_p2_student18.dap,0,1,1,0,0,0,0,0,0,0
b_p2_student19.dap,1,1,1,0,0,0,0,0,0,0
b_p2_student20.dap,1,1,1,0,0,0,0,0,0,0
b_p3_student01.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student02.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student03.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student04.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student05.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student06.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student07.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student08.dap,0,1,0,0,0,0,0,0,0,0
b_p3_student09.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student10.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student11.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student12.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student13.dap,0,1,0,0,0,0,0,0,0,0
b_p3_student14.dap,0,1,0,0,0,0,0,0,0,0
b_p3_student15.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student16.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student17.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student18.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student19.dap,1,1,0,0,0,0,0,0,0,0
b_p3_student20.dap,1,1,0,0,0,0,0,0,0,0
c_l8_reference.dap,1,1,1,1,1,0,0,0,0,0
c_l8_reference1.dap,1,1,1,1,1,0,0,0,0,0
c_p1_reference.dap,1,1,0,1,0,0,0,0,0,0
c_p2_reference.dap,1,1,1,0,0,0,0,0,0,0
c_p3_reference.dap,1,1,0,0,0,0,0,0,0,0
b_p1_student_va7.dap,1,1,0,1,0,0,0,0,0,0
b_p1_student_cd13.dap,1,1,0,1,0,0,0,0,0,0
b_p2_student_lo10.dap,1,1,1,0,0,0,0,0,0,0

